"","altura_cop","fapar","srtm","uspeed","vspeed","clearDays","days20","lightning","month100","pannual","pdriest","pet","pseason","pwettest","tannual","tseason","tmax","clayContent","waterContent"
"altura_cop",1,0.252590222074864,-0.125600535889285,-0.473525398752252,-0.209072107077125,-0.394881946823123,0.103593065355939,-0.20811153454941,-0.0973343018407846,0.0598133788706613,0.0709160474872907,-0.192576211678615,-0.138718808853502,0.0986048098942869,0.0755290360823571,-0.270241402809042,-0.293034498049044,0.542974362517871,-0.0588679177997293
"fapar",0.252590222074864,1,0.139675927054872,0.101501680143785,0.150697560638423,0.0825633004096306,0.0105827128305304,0.170210385298946,-0.205236289272349,0.12051611849084,0.0893681969925566,-0.283342262573835,-0.175125532364219,-0.0649595552502491,-0.167988841220851,-0.0624778919299799,-0.0300607356371131,0.014595249544132,0.105955965091368
"srtm",-0.125600535889285,0.139675927054872,1,0.442965108313363,0.265965830511065,0.599529244625356,-0.284504448990753,-0.0300273830907544,0.452951096468223,-0.409617408858878,-0.53425868819487,0.284608187456149,0.501125945860793,-0.0954784379759989,-0.741885779234976,0.509144704160909,0.414414889302893,-0.179998205722106,0.289845956274171
"uspeed",-0.473525398752252,0.101501680143785,0.442965108313363,1,0.66819209212454,0.726628310225682,-0.254599355791265,0.334417121383888,0.126142545690123,-0.192371695894104,-0.355306308301648,-0.047325752867765,0.32146028304196,-0.12560141293193,-0.483129708340434,0.42053685660667,0.497724546643437,-0.557683205738969,0.28029580611904
"vspeed",-0.209072107077125,0.150697560638423,0.265965830511065,0.66819209212454,1,0.56444972726741,-0.420497719834862,0.234922246422428,-0.0310478964991727,-0.112480270292882,-0.34308213344329,-0.459264874599155,0.172596466003764,-0.243354732110451,-0.490283443958855,0.327980552975119,0.307040830740545,-0.417544249304509,0.427853270912955
"clearDays",-0.394881946823123,0.0825633004096306,0.599529244625356,0.726628310225682,0.56444972726741,1,-0.474773751315126,0.359416086448554,0.410071206833865,-0.370751803059962,-0.619754458566982,0.203852158971223,0.540279602027626,-0.106703261147054,-0.501594428993635,0.528643831894949,0.777405005380319,-0.476065803111338,0.387528077253321
"days20",0.103593065355939,0.0105827128305304,-0.284504448990753,-0.254599355791265,-0.420497719834862,-0.474773751315126,1,-0.101017770532208,-0.520927888233667,0.643030247971911,0.603088654132556,0.0337337008704688,-0.457061396234057,0.402204364489874,0.303602783493658,-0.224424416723537,-0.304896178735565,0.0215094605320168,-0.308819156022778
"lightning",-0.20811153454941,0.170210385298946,-0.0300273830907544,0.334417121383888,0.234922246422428,0.359416086448554,-0.101017770532208,1,-0.196783514980515,0.203158203651904,0.0440301351629132,-0.14834496859634,-0.129207223493718,-0.0223052594182953,0.0704120018772582,-0.180035855484676,0.337157035609881,-0.288496986956327,0.00841075897579073
"month100",-0.0973343018407846,-0.205236289272349,0.452951096468223,0.126142545690123,-0.0310478964991727,0.410071206833865,-0.520927888233667,-0.196783514980515,1,-0.771848887001088,-0.822778059697512,0.631411063321313,0.893280819984077,0.0360660426668272,-0.240327351649845,0.404418616230201,0.504079918326443,0.0911432418494778,0.179176499889418
"pannual",0.0598133788706613,0.12051611849084,-0.409617408858878,-0.192371695894104,-0.112480270292882,-0.370751803059962,0.643030247971911,0.203158203651904,-0.771848887001088,1,0.753590787676191,-0.317494526901158,-0.727337529651109,0.464624429982098,0.313743880248947,-0.379605479995765,-0.29074328924486,-0.095701635202905,-0.199798191210039
"pdriest",0.0709160474872907,0.0893681969925566,-0.53425868819487,-0.355306308301648,-0.34308213344329,-0.619754458566982,0.603088654132556,0.0440301351629132,-0.822778059697512,0.753590787676191,1,-0.362132268623867,-0.907103043948106,0.0529450893622314,0.454861685636865,-0.431624531984031,-0.601152965245294,0.0271092091373516,-0.351733032025843
"pet",-0.192576211678615,-0.283342262573835,0.284608187456149,-0.047325752867765,-0.459264874599155,0.203852158971223,0.0337337008704688,-0.14834496859634,0.631411063321313,-0.317494526901158,-0.362132268623867,1,0.577859163529484,0.396037928179527,0.0818480349354376,0.24539219667362,0.484667939467662,0.001752774123859,-0.113858897249388
"pseason",-0.138718808853502,-0.175125532364219,0.501125945860793,0.32146028304196,0.172596466003764,0.540279602027626,-0.457061396234057,-0.129207223493718,0.893280819984077,-0.727337529651109,-0.907103043948106,0.577859163529484,1,0.157826854837202,-0.376751697101438,0.427003861074752,0.602060677139763,-0.0375437731475283,0.241989349222468
"pwettest",0.0986048098942869,-0.0649595552502491,-0.0954784379759989,-0.12560141293193,-0.243354732110451,-0.106703261147054,0.402204364489874,-0.0223052594182953,0.0360660426668272,0.464624429982098,0.0529450893622314,0.396037928179527,0.157826854837202,1,0.20100648982554,-0.121510137230472,0.191582227034252,0.0561234247152021,-0.131031179868883
"tannual",0.0755290360823571,-0.167988841220851,-0.741885779234976,-0.483129708340434,-0.490283443958855,-0.501594428993635,0.303602783493658,0.0704120018772582,-0.240327351649845,0.313743880248947,0.454861685636865,0.0818480349354376,-0.376751697101438,0.20100648982554,1,-0.399833159025554,-0.115663345708864,0.198468428753722,-0.33444968540493
"tseason",-0.270241402809042,-0.0624778919299799,0.509144704160909,0.42053685660667,0.327980552975119,0.528643831894949,-0.224424416723537,-0.180035855484676,0.404418616230201,-0.379605479995765,-0.431624531984031,0.24539219667362,0.427003861074752,-0.121510137230472,-0.399833159025554,1,0.419945638709274,-0.234172663446184,0.207556344737324
"tmax",-0.293034498049044,-0.0300607356371131,0.414414889302893,0.497724546643437,0.307040830740545,0.777405005380319,-0.304896178735565,0.337157035609881,0.504079918326443,-0.29074328924486,-0.601152965245294,0.484667939467662,0.602060677139763,0.191582227034252,-0.115663345708864,0.419945638709274,1,-0.332084455997447,0.212607761289841
"clayContent",0.542974362517871,0.014595249544132,-0.179998205722106,-0.557683205738969,-0.417544249304509,-0.476065803111338,0.0215094605320168,-0.288496986956327,0.0911432418494778,-0.095701635202905,0.0271092091373516,0.001752774123859,-0.0375437731475283,0.0561234247152021,0.198468428753722,-0.234172663446184,-0.332084455997447,1,-0.133515546839557
"waterContent",-0.0588679177997293,0.105955965091368,0.289845956274171,0.28029580611904,0.427853270912955,0.387528077253321,-0.308819156022778,0.00841075897579073,0.179176499889418,-0.199798191210039,-0.351733032025843,-0.113858897249388,0.241989349222468,-0.131031179868883,-0.33444968540493,0.207556344737324,0.212607761289841,-0.133515546839557,1
