Layer,Related to,Unity,Source,Importance
uspeed,storms probability - convective winds,m/s,ECM-RWF,67.72
vspeed,storms probability - convective winds,m/s,ECM-RWF,0.09
days20,storms probability - convective winds,days,CHIRPS ,0.18
lightning,storms probability - convective winds,flashes rate,LIS TRMM,0.77
elevation,distance to water - flooding zones - soil type,m,SRTM,12.31
pet,energy balance - water balance,mm,TerraClimate,2.15
fapar,radiation - vegetation health - anthropic regions - soil exposure,%,NOAA AVHRR ,3.41
clearDays,radiation - temperature - evapotranspiration,days,MODIS ,2.22
month100,precipitation,months,CHIRPS ,Removed by high correlation
pannual,precipitation,mm,WorldClim ,2.99
pdriest,precipitaiton intensity - precipitation distribution,mm,WorldClim ,Removed by high correlation
pwettest,precipitaiton intensity - precipitation distribution,mm,WorldClim ,0.2
pseason,precipitaiton intensity - precipitation distribution,mm,WorldClim ,0.85
tannual,temperature,°C,WorldClim ,0.01
tseason,temperature distribution,°C,WorldClim ,0
tmax,storms probability - convective winds,°C,WorldClim ,0
clayContent,soil structure - physical properties - water availability,%,OpenLandMap,4.4
waterContent,soil structure - physical properties - water availability,%,OpenLandMap,2.7
