,fapar,srtm,uspeed,vspeed,clearDays,days20,lightning,month100,pannual,pdriest,pet,pseason,pwettest,tannual,tseason,tmax,clayContent,waterContent
fapar,1,0.14,0.1,0.15,0.08,0.01,0.17,-0.21,0.12,0.09,-0.28,-0.18,-0.06,-0.17,-0.06,-0.03,0.01,0.11
srtm,0.14,1,0.44,0.27,0.6,-0.28,-0.03,0.45,-0.41,-0.53,0.28,0.5,-0.1,-0.74,0.51,0.41,-0.18,0.29
uspeed,0.1,0.44,1,0.67,0.73,-0.25,0.33,0.13,-0.19,-0.36,-0.05,0.32,-0.13,-0.48,0.42,0.5,-0.56,0.28
vspeed,0.15,0.27,0.67,1,0.56,-0.42,0.23,-0.03,-0.11,-0.34,-0.46,0.17,-0.24,-0.49,0.33,0.31,-0.42,0.43
clearDays,0.08,0.6,0.73,0.56,1,-0.47,0.36,0.41,-0.37,-0.62,0.2,0.54,-0.11,-0.5,0.53,0.78,-0.48,0.39
days20,0.01,-0.28,-0.25,-0.42,-0.47,1,-0.1,-0.52,0.64,0.6,0.03,-0.46,0.4,0.3,-0.22,-0.3,0.02,-0.31
lightning,0.17,-0.03,0.33,0.23,0.36,-0.1,1,-0.2,0.2,0.04,-0.15,-0.13,-0.02,0.07,-0.18,0.34,-0.29,0.01
month100,-0.21,0.45,0.13,-0.03,0.41,-0.52,-0.2,1,-0.77,-0.82,0.63,0.89,0.04,-0.24,0.4,0.5,0.09,0.18
pannual,0.12,-0.41,-0.19,-0.11,-0.37,0.64,0.2,-0.77,1,0.75,-0.32,-0.73,0.46,0.31,-0.38,-0.29,-0.1,-0.2
pdriest,0.09,-0.53,-0.36,-0.34,-0.62,0.6,0.04,-0.82,0.75,1,-0.36,-0.91,0.05,0.45,-0.43,-0.6,0.03,-0.35
pet,-0.28,0.28,-0.05,-0.46,0.2,0.03,-0.15,0.63,-0.32,-0.36,1,0.58,0.4,0.08,0.25,0.48,0,-0.11
pseason,-0.18,0.5,0.32,0.17,0.54,-0.46,-0.13,0.89,-0.73,-0.91,0.58,1,0.16,-0.38,0.43,0.6,-0.04,0.24
pwettest,-0.06,-0.1,-0.13,-0.24,-0.11,0.4,-0.02,0.04,0.46,0.05,0.4,0.16,1,0.2,-0.12,0.19,0.06,-0.13
tannual,-0.17,-0.74,-0.48,-0.49,-0.5,0.3,0.07,-0.24,0.31,0.45,0.08,-0.38,0.2,1,-0.4,-0.12,0.2,-0.33
tseason,-0.06,0.51,0.42,0.33,0.53,-0.22,-0.18,0.4,-0.38,-0.43,0.25,0.43,-0.12,-0.4,1,0.42,-0.23,0.21
tmax,-0.03,0.41,0.5,0.31,0.78,-0.3,0.34,0.5,-0.29,-0.6,0.48,0.6,0.19,-0.12,0.42,1,-0.33,0.21
clayContent,0.01,-0.18,-0.56,-0.42,-0.48,0.02,-0.29,0.09,-0.1,0.03,0,-0.04,0.06,0.2,-0.23,-0.33,1,-0.13
waterContent,0.11,0.29,0.28,0.43,0.39,-0.31,0.01,0.18,-0.2,-0.35,-0.11,0.24,-0.13,-0.33,0.21,0.21,-0.13,1
